ERROR   2021-06-24 09:11:28,854 [http-nio-8084-exec-157] phucdn.controller.admin.AdminInsertItemController  - java.lang.NumberFormatException: For input string: "fgdfdgfdg"
ERROR   2021-06-24 09:12:53,068 [http-nio-8084-exec-157] phucdn.controller.admin.AdminInsertItemController  - java.lang.NumberFormatException: For input string: "fgdfdgfdg"
ERROR   2021-06-24 09:15:16,671 [http-nio-8084-exec-174] phucdn.controller.admin.AdminInsertItemController  - java.lang.NumberFormatException: For input string: "gdgdf"
ERROR   2021-06-24 09:15:50,378 [http-nio-8084-exec-172] phucdn.controller.admin.AdminInsertItemController  - com.microsoft.sqlserver.jdbc.SQLServerException: Violation of PRIMARY KEY constraint 'PK_item'. Cannot insert duplicate key in object 'dbo.item'. The duplicate key value is (BS100025).
ERROR   2021-06-24 09:24:38,216 [http-nio-8084-exec-173] phucdn.controller.admin.AdminInsertItemController  - com.microsoft.sqlserver.jdbc.SQLServerException: Violation of PRIMARY KEY constraint 'PK_item'. Cannot insert duplicate key in object 'dbo.item'. The duplicate key value is (BS100025).
ERROR   2021-06-24 09:26:19,023 [http-nio-8084-exec-187] phucdn.controller.admin.AdminInsertItemController  - com.microsoft.sqlserver.jdbc.SQLServerException: Violation of PRIMARY KEY constraint 'PK_item'. Cannot insert duplicate key in object 'dbo.item'. The duplicate key value is (BS100025).
ERROR   2021-06-24 09:28:21,436 [http-nio-8084-exec-197] phucdn.controller.admin.AdminInsertItemController  - com.microsoft.sqlserver.jdbc.SQLServerException: Violation of PRIMARY KEY constraint 'PK_item'. Cannot insert duplicate key in object 'dbo.item'. The duplicate key value is (BS100025).
ERROR   2021-06-24 09:31:10,302 [http-nio-8084-exec-218] phucdn.controller.admin.AdminInsertItemController  - com.microsoft.sqlserver.jdbc.SQLServerException: Violation of PRIMARY KEY constraint 'PK_item'. Cannot insert duplicate key in object 'dbo.item'. The duplicate key value is (BS100025).
ERROR   2021-06-24 09:32:52,352 [http-nio-8084-exec-226] phucdn.controller.admin.AdminInsertItemController  - java.lang.NumberFormatException: For input string: "fgdfdgfdg"
ERROR   2021-06-24 09:45:02,140 [http-nio-8084-exec-235] phucdn.controller.admin.AdminInsertItemController  - com.microsoft.sqlserver.jdbc.SQLServerException: Violation of PRIMARY KEY constraint 'PK_item'. Cannot insert duplicate key in object 'dbo.item'. The duplicate key value is (BS100025).
ERROR   2021-06-24 09:46:25,042 [http-nio-8084-exec-249] phucdn.controller.admin.AdminInsertItemController  - com.microsoft.sqlserver.jdbc.SQLServerException: Violation of PRIMARY KEY constraint 'PK_item'. Cannot insert duplicate key in object 'dbo.item'. The duplicate key value is (BS100025).
ERROR   2021-06-24 16:49:18,929 [http-nio-8084-exec-16] phucdn.controller.admin.AdminInsertDisController  - java.lang.NumberFormatException: For input string: "SDFSDFSDFSF"
ERROR   2021-06-24 16:50:16,305 [http-nio-8084-exec-13] phucdn.controller.admin.AdminInsertDisController  - java.lang.NumberFormatException: For input string: "werwr"
ERROR   2021-06-24 16:52:38,213 [http-nio-8084-exec-16] phucdn.controller.admin.AdminInsertItemController  - java.lang.NumberFormatException: For input string: "fgdfdgfdg"
ERROR   2021-06-24 16:52:51,117 [http-nio-8084-exec-17] phucdn.controller.admin.AdminInsertItemController  - com.microsoft.sqlserver.jdbc.SQLServerException: Violation of PRIMARY KEY constraint 'PK_item'. Cannot insert duplicate key in object 'dbo.item'. The duplicate key value is (BS100025).
